nth vaddr      bind type lib          name
90  0x006645fc NONE FUNC gdi32.dll    BitBlt
1   0x00664604 NONE FUNC user32.dll   CreateWindowExW
2   0x00664608 NONE FUNC user32.dll   CreateWindowExA
3   0x0066460c NONE FUNC user32.dll   WindowFromPoint
4   0x00664610 NONE FUNC user32.dll   WinHelpA
5   0x00664614 NONE FUNC user32.dll   WaitMessage
6   0x00664618 NONE FUNC user32.dll   VkKeyScanW
7   0x0066461c NONE FUNC user32.dll   ValidateRect
8   0x00664620 NONE FUNC user32.dll   UpdateWindow
9   0x00664624 NONE FUNC user32.dll   UnregisterClassW
10  0x00664628 NONE FUNC user32.dll   UnregisterClassA
11  0x0066462c NONE FUNC user32.dll   UnionRect
12  0x00664630 NONE FUNC user32.dll   UnhookWindowsHookEx
13  0x00664634 NONE FUNC user32.dll   TranslateMessage
14  0x00664638 NONE FUNC user32.dll   TranslateMDISysAccel
15  0x0066463c NONE FUNC user32.dll   TrackPopupMenu
16  0x00664640 NONE FUNC user32.dll   SystemParametersInfoA
17  0x00664644 NONE FUNC user32.dll   ShowWindow
18  0x00664648 NONE FUNC user32.dll   ShowScrollBar
19  0x0066464c NONE FUNC user32.dll   ShowOwnedPopups
20  0x00664650 NONE FUNC user32.dll   ShowCursor
21  0x00664654 NONE FUNC user32.dll   SetWindowRgn
22  0x00664658 NONE FUNC user32.dll   SetWindowsHookExW
23  0x0066465c NONE FUNC user32.dll   SetWindowsHookExA
24  0x00664660 NONE FUNC user32.dll   SetWindowTextW
25  0x00664664 NONE FUNC user32.dll   SetWindowTextA
26  0x00664668 NONE FUNC user32.dll   SetWindowPos
27  0x0066466c NONE FUNC user32.dll   SetWindowPlacement
28  0x00664670 NONE FUNC user32.dll   SetWindowLongW
29  0x00664674 NONE FUNC user32.dll   SetWindowLongA
30  0x00664678 NONE FUNC user32.dll   SetTimer
31  0x0066467c NONE FUNC user32.dll   SetScrollRange
32  0x00664680 NONE FUNC user32.dll   SetScrollPos
33  0x00664684 NONE FUNC user32.dll   SetScrollInfo
34  0x00664688 NONE FUNC user32.dll   SetRect
35  0x0066468c NONE FUNC user32.dll   SetPropA
36  0x00664690 NONE FUNC user32.dll   SetParent
37  0x00664694 NONE FUNC user32.dll   SetMenuItemInfoW
38  0x00664698 NONE FUNC user32.dll   SetMenuItemInfoA
39  0x0066469c NONE FUNC user32.dll   SetMenu
40  0x006646a0 NONE FUNC user32.dll   SetKeyboardState
41  0x006646a4 NONE FUNC user32.dll   SetForegroundWindow
42  0x006646a8 NONE FUNC user32.dll   SetFocus
43  0x006646ac NONE FUNC user32.dll   SetCursor
44  0x006646b0 NONE FUNC user32.dll   SetClipboardData
45  0x006646b4 NONE FUNC user32.dll   SetClassLongA
46  0x006646b8 NONE FUNC user32.dll   SetCapture
47  0x006646bc NONE FUNC user32.dll   SetActiveWindow
48  0x006646c0 NONE FUNC user32.dll   SendMessageW
49  0x006646c4 NONE FUNC user32.dll   SendMessageA
50  0x006646c8 NONE FUNC user32.dll   ScrollWindowEx
51  0x006646cc NONE FUNC user32.dll   ScrollWindow
52  0x006646d0 NONE FUNC user32.dll   ScreenToClient
53  0x006646d4 NONE FUNC user32.dll   RemovePropA
54  0x006646d8 NONE FUNC user32.dll   RemoveMenu
55  0x006646dc NONE FUNC user32.dll   ReleaseDC
56  0x006646e0 NONE FUNC user32.dll   ReleaseCapture
57  0x006646e4 NONE FUNC user32.dll   RegisterWindowMessageA
58  0x006646e8 NONE FUNC user32.dll   RegisterClipboardFormatA
59  0x006646ec NONE FUNC user32.dll   RegisterClassW
60  0x006646f0 NONE FUNC user32.dll   RegisterClassA
61  0x006646f4 NONE FUNC user32.dll   RedrawWindow
62  0x006646f8 NONE FUNC user32.dll   PtInRect
63  0x006646fc NONE FUNC user32.dll   PostQuitMessage
64  0x00664700 NONE FUNC user32.dll   PostMessageW
65  0x00664704 NONE FUNC user32.dll   PostMessageA
66  0x00664708 NONE FUNC user32.dll   PeekMessageA
67  0x0066470c NONE FUNC user32.dll   OpenClipboard
68  0x00664710 NONE FUNC user32.dll   OffsetRect
69  0x00664714 NONE FUNC user32.dll   OemToCharA
70  0x00664718 NONE FUNC user32.dll   MsgWaitForMultipleObjects
71  0x00664268 NONE FUNC user32.dll   MessageBoxA
72  0x00664720 NONE FUNC user32.dll   MessageBeep
73  0x00664724 NONE FUNC user32.dll   MapWindowPoints
74  0x00664728 NONE FUNC user32.dll   MapVirtualKeyW
75  0x0066472c NONE FUNC user32.dll   MapVirtualKeyA
76  0x00664730 NONE FUNC user32.dll   LoadStringW
77  0x00664264 NONE FUNC user32.dll   LoadStringA
78  0x00664738 NONE FUNC user32.dll   LoadKeyboardLayoutA
79  0x0066473c NONE FUNC user32.dll   LoadIconA
80  0x00664740 NONE FUNC user32.dll   LoadCursorA
81  0x00664744 NONE FUNC user32.dll   LoadBitmapA
82  0x00664748 NONE FUNC user32.dll   KillTimer
83  0x0066474c NONE FUNC user32.dll   IsZoomed
84  0x00664750 NONE FUNC user32.dll   IsWindowVisible
85  0x00664754 NONE FUNC user32.dll   IsWindowUnicode
86  0x00664758 NONE FUNC user32.dll   IsWindowEnabled
87  0x0066475c NONE FUNC user32.dll   IsWindow
88  0x00664760 NONE FUNC user32.dll   IsRectEmpty
89  0x00664764 NONE FUNC user32.dll   IsIconic
90  0x00664768 NONE FUNC user32.dll   IsDialogMessageW
91  0x0066476c NONE FUNC user32.dll   IsDialogMessageA
